_id,estStatusDesc,enfrID,inspID,infrTypeCD,postal,rowNo,addr,estName,infrAction,lon,servID,enfrOutcome,unit,infrTypeDesc,enfrAmountFined,inspStatusDesc,enfrOutcomeDate,lat,servTypeCD,inspDate,infrID,addrID,estID,servTypeDesc,estStatusCD
13157747,Pass,2208601,22786250,8571,M5R,2546,864 BATHURST ST,THE GOLDEN BARBER SHOP,Ticket,-79.41230057,555588,Pending,,Reusable equipment not cleaned and disinfected or sterilized between each use. Reg. Clause 10 (4)(a),,Conditional,,43.66689235,7016,2019-11-15T00:00:00,2208420,2905326,3640978,Barbering & Hairdressing,PASS
13157748,Pass,2208602,22786250,8593,M5R,2547,864 BATHURST ST,THE GOLDEN BARBER SHOP,Ticket,-79.41230057,555588,Pending,,Fail to ensure all sharps disposed of immediately after use in sharps container in close proximity to where personal service provided. Reg. Subsec. 10 (7),,Conditional,,43.66689235,7016,2019-11-15T00:00:00,2208422,2905326,3640978,Barbering & Hairdressing,PASS
13157749,Pass,,22786250,8578,M5R,2548,864 BATHURST ST,THE GOLDEN BARBER SHOP,Notice to Comply,-79.41230057,555588,,,Personal service setting - use equipment not maintained in sanitary condition. Reg. Clause 10 (1)(a),,Conditional,,43.66689235,7016,2019-11-15T00:00:00,2208421,2905326,3640978,Barbering & Hairdressing,PASS
13157750,Pass,,22786258,8578,M1V,2549,4675 STEELES AVE E,LUV IN NAILS NIKKI'S STUDIO,Notice to Comply,-79.30252839,559159,,UNIT-1D1-1D3,Personal service setting - use equipment not maintained in sanitary condition. Reg. Clause 10 (1)(a),,Conditional,,43.82415538,7017,2019-11-07T00:00:00,2208423,3040242,4106115,Nails,PASS
13157751,Pass,,22786262,8570,M3B,2550,865 YORK MILLS RD,VOGUE NAILS,Notice to Comply,-79.34958506,958897,,UNIT-15,Reusable equipment not disinfected as often as necessary to prevent disease transmission. Reg. Subsec. 10 (4),,Conditional,,43.75431119,7017,2019-11-19T00:00:00,2208424,2909048,4414377,Nails,PASS
13157752,Pass,,22786262,8578,M3B,2551,865 YORK MILLS RD,VOGUE NAILS,Notice to Comply,-79.34958506,958897,,UNIT-15,Personal service setting - use equipment not maintained in sanitary condition. Reg. Clause 10 (1)(a),,Conditional,,43.75431119,7017,2019-11-19T00:00:00,2208426,2909048,4414377,Nails,PASS
13157753,Pass,,22786262,8583,M3B,2552,865 YORK MILLS RD,VOGUE NAILS,Notice to Comply,-79.34958506,958897,,UNIT-15,Personal service setting - single-use equipment not discarded immediately after use. Reg. Subsec. 10 (5),,Conditional,,43.75431119,7017,2019-11-19T00:00:00,2208427,2909048,4414377,Nails,PASS
13157754,Pass,,22786262,8577,M3B,2553,865 YORK MILLS RD,VOGUE NAILS,Notice to Comply,-79.34958506,958897,,UNIT-15,Personal service setting - use equipment not maintained in good repair. Reg. Clause 10 (1)(a),,Conditional,,43.75431119,7017,2019-11-19T00:00:00,2208425,2909048,4414377,Nails,PASS
13157755,Pass,,22786263,8529,M3B,2554,865 YORK MILLS RD,VOGUE NAILS,Notice to Comply,-79.34958506,958898,,UNIT-15,Personal service setting - fixture not maintained in sanitary condition. Reg. Para. 2 of subsec. 8 (1),,Conditional,,43.75431119,7018,2019-11-19T00:00:00,2208428,2909048,4414377,Aesthetics,PASS
13157756,Pass,,22786263,8578,M3B,2555,865 YORK MILLS RD,VOGUE NAILS,Notice to Comply,-79.34958506,958898,,UNIT-15,Personal service setting - use equipment not maintained in sanitary condition. Reg. Clause 10 (1)(a),,Conditional,,43.75431119,7018,2019-11-19T00:00:00,2208430,2909048,4414377,Aesthetics,PASS
13157757,Pass,,22786263,8570,M3B,2556,865 YORK MILLS RD,VOGUE NAILS,Notice to Comply,-79.34958506,958898,,UNIT-15,Reusable equipment not disinfected as often as necessary to prevent disease transmission. Reg. Subsec. 10 (4),,Conditional,,43.75431119,7018,2019-11-19T00:00:00,2208429,2909048,4414377,Aesthetics,PASS
13157758,Pass,,22786266,8593,M1W,2557,241 TIMBERBANK BLVD,BETTY'S HAIR SALON,Verbal Order,-79.30742753,1176109,,,Fail to ensure all sharps disposed of immediately after use in sharps container in close proximity to where personal service provided. Reg. Subsec. 10 (7),,Service(s) Closed,,43.79556141,7016,2019-10-04T00:00:00,2208431,3231943,4789399,Barbering & Hairdressing,PASS
13157759,Pass,,22849513,8545,M5T,2558,562 DUNDAS ST W,NEW FASHION HAIR DESIGN,Notice to Comply,-79.40008859,555680,,,Personal service setting - fail to ensure work surfaces of form and material that can be readily cleaned. Reg. Para. 9 of subsec. 8 (1),,Conditional,,43.65274655,7016,2019-12-05T00:00:00,2208432,2905603,3641272,Barbering & Hairdressing,PASS
13157760,Pass,,22849518,8571,M1L,2559,1921 EGLINTON AVE E,EXPERT NAILS,Notice to Comply,-79.28814462,556246,,UNIT-8,Reusable equipment not cleaned and disinfected or sterilized between each use. Reg. Clause 10 (4)(a),,Conditional,,43.72701244,7017,2019-11-05T00:00:00,2208433,2907249,3643221,Nails,PASS
13157761,Pass,,22849518,8584,M1L,2560,1921 EGLINTON AVE E,EXPERT NAILS,Notice to Comply,-79.28814462,556246,,UNIT-8,Personal service setting - single-use instrument not discarded immediately after use. Reg. Subsec. 10 (5),,Conditional,,43.72701244,7017,2019-11-05T00:00:00,2208435,2907249,3643221,Nails,PASS
13157762,Pass,,22849518,8578,M1L,2561,1921 EGLINTON AVE E,EXPERT NAILS,Notice to Comply,-79.28814462,556246,,UNIT-8,Personal service setting - use equipment not maintained in sanitary condition. Reg. Clause 10 (1)(a),,Conditional,,43.72701244,7017,2019-11-05T00:00:00,2208434,2907249,3643221,Nails,PASS
13157763,Pass,,22849532,8607,M2N,2562,28 FINCH AVE W,FINE SKIN CARE,Notice to Comply,-79.41780691,633943,,UNIT-109,Fail to obtain name of person seeking personal service. Reg. Sec. 5,,Conditional,,43.7795609,7018,2019-12-03T00:00:00,2208443,2908338,4629084,Aesthetics,PASS
13157764,Pass,,22849532,8605,M2N,2563,28 FINCH AVE W,FINE SKIN CARE,Notice to Comply,-79.41780691,633943,,UNIT-109,Fail to keep sterilization records of personal service setting as required. Reg. Para. 1 of subsec. 14 (1),,Conditional,,43.7795609,7018,2019-12-03T00:00:00,2208442,2908338,4629084,Aesthetics,PASS
13157765,Pass,,22849532,8609,M2N,2564,28 FINCH AVE W,FINE SKIN CARE,Notice to Comply,-79.41780691,633943,,UNIT-109,Fail to keep accidental exposure records of personal service setting as required. Reg. Para. 4 of subsec. 14 (1),,Conditional,,43.7795609,7018,2019-12-03T00:00:00,2208444,2908338,4629084,Aesthetics,PASS
13157766,Pass,,22849532,8616,M2N,2565,28 FINCH AVE W,FINE SKIN CARE,Notice to Comply,-79.41780691,633943,,UNIT-109,Personal service setting - fail to ensure required records kept readily available for required period. Reg. Clause 14 (2)(b),,Conditional,,43.7795609,7018,2019-12-03T00:00:00,2208446,2908338,4629084,Aesthetics,PASS
